127.0.0.1 - - [03/Dec/2021:17:16:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 69178
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 75250
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:40 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:16:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:02 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:05 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:07 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:10 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:17 +0900] "GET /BBS/update.jsp?bbsID=1 HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:20 +0900] "POST /BBS/updateAction.jsp?bbsID=1 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:22 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2664
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:28 +0900] "GET /BBS/deleteAction.jsp?bbsID=1 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:28 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:37 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:17:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:04 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:06 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:07 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:23 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:28 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:31 +0900] "GET /BBS/deleteAction.jsp?bbsID=2 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:31 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:33 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:36 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:36 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:36 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:39 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:39 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:39 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:41 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:42 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:44 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:45 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:47 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:48 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:50 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:51 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:53 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:53 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:55 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:57 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:57 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4413
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:19:58 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:00 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4685
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:01 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:06 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4956
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:07 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:09 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:11 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:12 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:20:14 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:23 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:28 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:33 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:36 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:43 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:48 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [03/Dec/2021:17:33:55 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 257
