0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:20 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:20 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:20 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4127
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:22 +0900] "GET /BBS/view.jsp?bbsID=23 HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:23 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:23 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:23 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:45 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:45 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:45 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4127
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:54:48 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4127
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:22 +0900] "GET /BBS/ HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:22 +0900] "GET /BBS/.../800x400?auto=yes&bg=777&fg=555&text=First%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:22 +0900] "GET /BBS/.../800x400?auto=yes&bg=666&fg=444&text=Second%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:22 +0900] "GET /BBS/.../800x400?auto=yes&bg=555&fg=333&text=Third%20slide HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [01/Dec/2021:18:55:23 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4137
